Depth(m),TVD(m),SPP Avg(bar),Flow In Pum Avg(lpm),ROP Avg(m/hr),Torque Abs Avg(kN-m),WOB Avg(mton),RPM Surface Avg(rpm),Dens Mud(sg),Annular Press(barg),well_id,SPP_smooth,SPP_ratio,AP_smooth,AP_ratio,mode,distance_to_low_pressure_m,is_core_drill
2332.0,1995.4397,92.2516,1149.7748,59.4301,16.8128,6.2933,78.4531,1.2086,253.8521,A,92.1771,1.0008082267721592,253.4874,1.0014387302879748,drill,1.0,False
2333.0,1995.481,92.7247,1149.7748,45.1013,16.6589,6.9197,78.7193,1.2095,253.8804,A,92.1537,1.0061961700940927,253.4874,1.0015503729179438,drill,1.0,False
2334.0,1995.5217,90.8858,1149.8171,60.8977,16.2163,7.3163,79.0225,1.209,253.3383,A,92.1537,0.9862414639889663,253.5294,0.9992462412643267,low_pressure_event,0.0,False
2335.0,1995.558,76.3998,1150.3197,63.8823,15.9729,6.5866,79.1749,1.2086,252.5677,A,92.1537,0.8290475585896171,253.6064,0.9959042831726644,low_pressure_event,0.0,False
2336.0,1995.5916,81.2807,1150.158,43.366,15.9199,7.0284,78.7247,1.2083,252.4829,A,92.1537,0.8820123337424324,253.6225,0.9955067078039211,low_pressure_event,0.0,False
2337.0,1995.6279,76.9088,1150.2524,50.2928,16.0283,7.2404,78.9456,1.2092,252.884,A,92.1248,0.8348327486192644,253.6064,0.9971514914450108,low_pressure_event,0.0,False
2338.0,1995.6588,91.4939,1149.7582,46.0688,15.9613,6.8803,79.092,1.2088,253.848,A,92.1537,0.9928402223676315,253.6064,1.0009526573461869,low_pressure_event,0.0,False
2339.0,1995.6904,92.3525,1149.7748,45.1269,16.4656,7.8289,78.7037,1.2085,253.8557,A,92.1537,1.0021572655248787,253.6064,1.0009830193559783,low_pressure_event,0.0,False
2340.0,1995.7231,92.2261,1149.7748,29.5751,14.0121,5.412,79.1112,1.2076,253.7578,A,92.2261,1.0,253.6064,1.0005969880886287,drill,1.0,False
2341.0,1995.7479,92.3234,1149.7797,25.294,13.2176,4.7787,79.1732,1.2082,253.6687,A,92.2516,1.0007783062841187,253.5274,1.0005573362090252,drill,2.0,False
2342.0,1995.7723,92.0423,1149.7606,40.6056,13.6709,4.6441,78.2235,1.2073,253.0855,A,92.2516,0.997731204662033,253.4798,0.998444451983945,drill,3.0,False
2343.0,1995.7981,92.1537,1149.7593,38.9573,15.7358,4.1555,78.4355,1.2074,253.4497,A,92.2261,0.9992149727680125,253.4533,0.9999857961999311,drill,4.0,False
2344.0,1995.8221,92.9675,1149.7748,68.2489,18.2251,5.5254,78.6525,1.2068,253.7017,A,92.2261,1.0080389390855733,253.4497,1.0009942801273783,drill,5.0,False
